 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 , 2020 ,
 MAS Core Inflation Measure * (Index) , 62.094 , 64.359 , 65.398 , 66.562 , 68.246 , 69.744 , 70.997 , 72.091 , 72.376 , 72.736 , 73.818 , 74.965 , 74.927 , 75.631 , 77.135 , 78.104 , 79.445 , 81.195 , 85.802 , 85.783 , 87.083 , 88.97 , 91.238 , 92.799 , 94.607 , 95.076 , 95.933 , 97.327 , 98.966 , 100 , 99.845 ,
     Percent Change Over Corresponding Period Of Previous Year * (Per Cent) , na , 3.6 , 1.6 , 1.8 , 2.5 , 2.2 , 1.8 , 1.5 , 0.4 , 0.5 , 1.5 , 1.6 , -0.1 , 0.9 , 2 , 1.3 , 1.7 , 2.2 , 5.7 , 0 , 1.5 , 2.2 , 2.5 , 1.7 , 1.9 , 0.5 , 0.9 , 1.5 , 1.7 , 1 , -0.2 ,
 Services Inflation Measure (Index) , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 93.602 , 94.435 , 95.577 , 97.033 , 98.448 , 100 , 99.46 ,
     Percent Change Over Corresponding Period Of Previous Year (Per Cent) , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 0.9 , 1.2 , 1.5 , 1.5 , 1.6 , -0.5 ,
 Retail & Other Goods Inflation Measure (Index) , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 98.245 , 98.304 , 98.577 , 98.769 , 100.14 , 100 , 98.501 ,
     Percent Change Over Corresponding Period Of Previous Year (Per Cent) , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 0.1 , 0.3 , 0.2 , 1.4 , -0.1 , -1.5 ,
 Electricity & Gas Inflation Measure (Index) , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 116.547 , 99.649 , 87.893 , 95.831 , 105.006 , 100 , 91.638 ,
     Percent Change Over Corresponding Period Of Previous Year (Per Cent) , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , -14.5 , -11.8 , 9 , 9.6 , -4.8 , -8.4 ,
