qtr,project_name,postal_district,25th_percentile,median,75th_percentile,rental_contracts
2020-Q4,CLEMENTIWOODS CONDOMINIUM,5,3.02,3.25,3.56,11
2020-Q4,CLIVEDEN AT GRANGE,10,3.86,4.18,4.3,11
2020-Q4,CLOVER BY THE PARK,20,2.81,2.9,3.05,22
2020-Q4,COCO PALMS,18,2.92,3.14,3.89,50
2020-Q4,COMMONWEALTH TOWERS,3,4.43,4.87,5.17,91
2020-Q4,COMPASS HEIGHTS,19,2.18,2.32,2.48,23
2020-Q4,CONCOURSE SKYLINE,7,4.01,4.36,4.56,56
2020-Q4,CORALIS,15,3.54,3.66,4.19,14
2020-Q4,CORALS AT KEPPEL BAY,4,4.47,4.7,4.82,28
2020-Q4,COSTA DEL SOL,16,2.85,3.01,3.16,49
2020-Q4,COSTA RHU,15,2.72,2.93,3.13,49
2020-Q4,COTE D'AZUR,15,2.94,3.07,3.29,48
2020-Q4,CRADELS,12,3.78,4.31,4.42,21
2020-Q4,CUBE 8,11,3.25,3.54,3.89,19
2020-Q4,CUSCADEN RESIDENCES,10,3.47,3.73,3.89,15
2020-Q4,CYAN,10,3.79,4,4.16,39
2020-Q4,D'LEEDON,10,3.58,3.93,4.41,133
2020-Q4,D'NEST,18,2.72,2.96,3.51,71
2020-Q4,D'WEAVE,14,3.64,3.83,4.22,13
2020-Q4,DAHLIA PARK CONDOMINIUM,17,1.77,1.88,1.9,12
2020-Q4,DAKOTA RESIDENCES,14,3.35,3.52,3.65,25
2020-Q4,DE ROYALE,12,2.54,2.65,2.65,13
2020-Q4,DEVONSHIRE RESIDENCES,9,4.97,5.14,5.51,22
2020-Q4,DOMUS,12,3.21,3.36,4.38,10
2020-Q4,DOUBLE BAY RESIDENCES,18,2.6,2.79,2.88,38
2020-Q4,DOVER PARKVIEW,5,2.86,2.99,3.1,47
2020-Q4,DRAYCOTT EIGHT,10,4.14,4.45,4.54,17
2020-Q4,DUCHESS CREST,10,3.01,3.11,3.22,15
2020-Q4,DUCHESS RESIDENCES,10,3.09,3.26,3.35,14
2020-Q4,DUO RESIDENCES,7,4.99,5.41,5.87,73
2020-Q4,E MAISON,13,2.53,2.83,3.35,12
2020-Q4,EAST MEADOWS,16,2.27,2.38,2.58,22
2020-Q4,EAST VILLAGE,16,3.17,3.41,3.76,14
2020-Q4,EASTERN LAGOON,16,2.19,2.38,2.53,22
2020-Q4,EASTPOINT GREEN,18,2.3,2.4,2.51,53
2020-Q4,EASTWOOD REGENCY,16,3.33,3.51,3.57,12
2020-Q4,ECHELON,3,4.01,4.74,5.21,44
2020-Q4,ECO,16,3.07,3.31,3.45,53
2020-Q4,ECO SANCTUARY,23,2.72,3.02,3.31,24
2020-Q4,EDELWEISS PARK CONDOMINIUM,17,1.88,2.05,2.15,32
2020-Q4,EIGHT COURTYARDS,27,2.43,2.59,2.9,34
2020-Q4,EIGHT RIVERSUITES,12,3.36,3.83,4.76,79
2020-Q4,EMERALD GARDEN,1,3.2,3.36,3.61,40
2020-Q4,EMERALD PARK,3,2.81,2.85,3,27
2020-Q4,EON SHENTON,2,4.73,5.42,5.95,17
2020-Q4,ESPA,23,2.29,2.53,2.61,11
2020-Q4,ESPADA,9,4.96,6.1,6.48,54
2020-Q4,ESTELLA GARDENS,17,1.86,2.3,2.51,24
2020-Q4,EUHABITAT,14,3.28,3.53,3.7,96
2020-Q4,EURO-ASIA COURT,9,2.39,2.59,2.65,11
2020-Q4,EURO-ASIA PARK,13,2.14,2.34,2.44,10
2020-Q4,FABER GARDEN CONDOMINIUM,20,1.5,1.55,1.69,11
2020-Q4,FERRARIA PARK CONDOMINIUM,17,2.15,2.25,2.45,22
2020-Q4,FLAMINGO VALLEY,15,3.02,3.21,3.53,32
2020-Q4,FLO RESIDENCE,19,2.49,2.67,2.71,28
2020-Q4,FLORIDIAN,21,3.53,3.67,3.8,27
2020-Q4,FORESQUE RESIDENCES,23,2.64,2.95,3.67,26
2020-Q4,FORTE SUITES,8,4.06,4.07,4.48,13
2020-Q4,FOUR SEASONS PARK,10,3.47,3.72,3.98,13
2020-Q4,FULCRUM,15,3.62,3.76,4.3,18
2020-Q4,GARDENVISTA,21,3.14,3.22,3.29,22
2020-Q4,GEM RESIDENCES,12,3.62,4.05,4.54,88
2020-Q4,GILSTEAD TWO,11,3.87,4.09,4.52,21
2020-Q4,GLENDALE PARK,23,2.12,2.19,2.32,17
2020-Q4,GLENTREES,10,2.6,2.75,3.12,14
2020-Q4,GOLDENHILL PARK CONDOMINIUM,20,2.7,2.83,3.01,24
2020-Q4,GOODWOOD RESIDENCE,10,4.32,4.7,5.01,15
2020-Q4,GRANDE VISTA,28,1.47,1.6,1.73,10
2020-Q4,GRANDEUR 8,20,2.38,2.51,2.55,29
2020-Q4,GRANGE HEIGHTS,9,2.38,2.57,2.8,10
2020-Q4,GUILIN VIEW,23,2.07,2.22,2.55,19
2020-Q4,GUILLEMARD EDGE,14,3.57,4.16,4.31,37
2020-Q4,GUILLEMARD SUITES,14,3.66,4.06,4.65,17
2020-Q4,H2O RESIDENCES,28,2.42,2.49,2.69,21
2020-Q4,HAIG 162,15,3.87,4.36,4.93,12
2020-Q4,HAIG COURT,15,2.5,2.62,2.77,10
2020-Q4,HARBOUR SUITES,4,3.98,4.22,4.53,12
2020-Q4,HARBOUR VIEW TOWERS,4,2.64,2.86,3.25,12
2020-Q4,HARBOURLIGHTS,4,3.06,3.23,3.36,26
2020-Q4,HAWAII TOWER,15,1.79,1.88,2.01,14
2020-Q4,HAZEL PARK CONDOMINIUM,23,1.85,2,2.25,28
2020-Q4,HEDGES PARK CONDOMINIUM,17,2.35,2.6,3.26,32
2020-Q4,HELIOS RESIDENCES,9,3.8,4.21,4.53,10
2020-Q4,HERITAGE VIEW,5,2.99,3.1,3.26,46
2020-Q4,HIGH PARK RESIDENCES,28,3.08,3.38,3.69,74
2020-Q4,HIGH STREET CENTRE,6,6.88,8.1,8.52,17
2020-Q4,HIGHGATE,21,1.78,2.04,2.12,11
2020-Q4,HIGHLINE RESIDENCES,3,4.86,5.43,5.93,49
2020-Q4,HILLBROOKS,23,2.09,2.21,2.32,15
